col_0,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,3758
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,4066
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,4230
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,4428
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,4662
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,4643
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,4653
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,4909
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,5048
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,5205
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,5352
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,5321
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,5194
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,5152
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,5186
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,5365
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,5546
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,5628
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,5805
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,6033
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,6116
1990,,1,,,,,,31,2,,67,24,8,,3,5,,16,42,,0,,,,,1,67,,1,17,0,,1,133,,,,9,633,17,,,,1,2,6,,,2,41,,,17,,,3,5,22,1,,,9,1,,,,22,134,,,,,3,325,1,26,,,,2,0,,,,1,24,24,,158,39,,11,55,14,154,2,361,4,79,2,,,11,5,0,6,,,,,,12,3,,,0,0,18,,,1,,,,1,,88,2,,,8,1,,0,,0,55,,7,1,,10,,,,3,20,,1,,1,7,17,2,88,14,3,1,88,,,,,43,557,0,,,,,,53,1,,,,19,20,4,,,60,72,2,,,,,,23,23,,48,,33,,0,,3,4,58,,,,0,138,15,182,1,1373,1,,,26,6,,,1,5,4046,2011,3523,2533,1371,160,1634,26,2157,243,1594,76,165,151,0,6207
1991,,1,,,,,,33,1,,68,24,6,,3,5,,17,42,,0,,,,,1,69,,1,12,0,,1,132,,,,8,655,17,,,,1,2,4,,,2,36,,,18,,,3,4,21,1,,,8,1,,,,20,137,,,,,3,311,1,26,,,,2,0,,,,1,26,22,,164,45,,11,59,14,152,2,366,4,59,2,,,6,5,0,5,,,,,,12,3,,,0,0,20,,,1,,,,1,,92,2,,,9,1,,0,,0,57,,7,1,,11,,,,4,19,,1,,1,6,17,2,92,15,4,1,93,,,,,35,566,0,,,,,,72,1,,,,20,16,4,,,65,74,2,,,,,,23,24,,48,,34,,0,,3,5,58,,,,0,125,17,185,1,1351,1,,,27,6,,,1,5,3997,2064,3501,2559,1344,167,1658,27,2119,268,1576,77,170,150,130,6340
1992,,1,,,,,,35,1,,68,25,4,,3,6,,12,47,,0,,,,,1,69,,1,12,0,,1,136,,,,9,703,19,,,,2,2,5,,,2,40,,,19,,,3,6,24,1,,,6,1,,,,28,148,,,,,3,327,1,28,,,,2,0,,,,1,28,25,,177,51,,12,60,16,166,2,390,5,36,2,,,9,5,0,5,,,,,,14,3,,,0,0,22,,,1,,,,1,,94,3,,,10,1,,0,,0,65,,8,1,,12,,,,4,21,,1,,1,7,21,2,94,16,6,1,108,,,,,32,216,0,,,,,,78,1,,,,23,15,5,,,61,80,2,,,,,,25,26,,60,,43,,0,,4,6,67,,,,0,121,17,189,1,1401,2,,,26,6,,,1,5,3812,2195,3702,2304,1430,170,1775,27,1850,299,1632,78,176,152,0,6158
1993,,1,,,,,,34,1,,69,24,7,,4,6,,10,44,,0,,,,,1,72,,1,12,0,,1,133,,,,10,753,19,,,,2,2,5,,,2,36,,,18,,,3,6,26,1,,,5,1,,,,23,137,,,,,2,315,1,27,,,,2,0,,,,1,27,23,,178,54,,11,58,16,152,2,382,4,47,2,,,13,3,0,4,,,,,,9,3,,,0,0,24,,,1,,,,1,,96,2,,,10,1,,0,,1,60,,8,1,,12,,,,4,22,,1,,1,7,19,2,92,16,7,1,110,,,,,30,306,0,,,,,,86,1,,,,23,14,5,,,63,74,2,,,,,,24,24,,57,,42,,0,,4,5,62,,,,0,102,19,179,1,1418,2,,,30,7,,,1,5,3796,2274,3621,2448,1339,175,1828,27,1822,309,1647,78,183,153,0,6221
1994,,1,,,,,,35,0,,72,24,5,,4,6,,8,44,,0,,,,,1,75,,1,11,0,,1,134,,,,10,750,20,,,,2,1,5,,,2,34,,,19,,,3,4,24,2,,,4,1,,,,21,134,,,,,1,308,2,27,,,,2,0,,,,1,34,21,,188,55,,11,64,17,147,2,401,5,41,2,,,14,3,0,4,,,,,,8,3,,,0,0,24,,,1,,,,1,,99,2,,,10,1,,0,,1,59,,8,1,,10,,,,5,24,,1,,1,7,20,2,88,16,7,1,116,,,,,28,322,0,,,,,,83,1,,,,25,12,5,,,67,75,2,,,,,,23,23,,57,,43,,0,,3,5,57,,,,0,75,21,178,1,1445,1,,,30,8,,,1,5,3804,2302,3650,2456,1308,178,1865,29,1773,313,1679,82,188,160,0,6265
1995,,1,,,,,,35,1,,73,25,6,,4,7,,9,45,,0,,,,,1,81,,1,13,0,,1,136,,,,11,816,18,,,,2,2,5,,,2,34,,,19,,,4,6,27,2,,,4,1,,,,20,136,,,,,1,310,2,27,,,,2,0,,,,1,35,20,,197,57,,11,68,18,153,2,410,5,37,3,,,14,3,0,3,,,,,,7,2,,,0,0,27,,,1,,,,1,,88,2,,,10,1,,0,,1,59,,8,1,,9,,,,5,24,,1,,2,8,22,2,88,17,8,1,123,,,,,28,320,0,,,,,,67,1,,,,25,13,5,,,71,78,3,,,,,,23,24,,59,,48,,0,,3,5,60,,,,1,61,21,177,1,1462,2,,,32,8,,,1,4,3833,2398,3695,2535,1323,188,1963,31,1775,307,1687,83,199,169,0,6399
1996,,1,,,,,,37,1,,75,27,8,,4,7,,13,45,,0,,,,,1,88,,2,13,0,,1,139,,,,13,852,18,,,,2,2,5,,,2,33,,,20,,,4,6,27,2,,,5,1,,,,20,138,,,,,2,305,2,27,,,,2,0,,,,1,35,19,,210,63,,13,71,18,144,2,408,4,33,3,,,12,2,0,4,,,,,,6,3,,,0,1,28,,,1,,,,1,,93,2,,,9,1,,0,,1,59,,9,1,,10,,,,5,27,,1,,1,8,21,3,90,17,8,1,135,,,,,27,343,0,,,,,,66,1,,,,28,13,5,,,69,74,3,,,,,,24,29,,55,,50,,0,,4,5,57,,,,0,77,22,185,1,1508,2,,,27,10,,,1,5,3921,2487,3762,2646,1318,184,2036,33,1822,302,1741,86,205,183,0,6590
1997,,1,,,,,,39,1,,77,26,7,,4,8,,12,46,,1,,,,,1,93,,1,13,0,,1,148,,,,15,833,20,,,,2,2,6,,,2,32,,,18,,,5,5,30,2,,,4,1,,,,20,134,,,,,2,293,2,27,,,,3,0,,,,1,39,19,,220,68,,13,73,19,146,2,401,5,31,2,,,13,1,0,4,,,,,,6,2,,,0,1,31,,,1,,,,1,,104,2,,,9,1,,0,,1,57,,9,1,,12,,,,5,27,,1,,2,8,24,3,88,18,8,1,137,,,,,24,321,0,,,,,,56,1,,,,31,13,5,,,73,75,3,,,,,,23,26,,60,,47,,0,,4,5,61,,,,1,74,22,184,1,1537,2,,,32,12,,,1,4,3904,2534,3791,2647,1294,192,2042,35,1771,300,1789,89,221,193,0,6631
1998,,1,,,,,,40,1,,82,27,8,,4,8,,19,49,,1,,,,,1,95,,1,12,0,,1,149,,,,15,807,20,,,,2,2,6,,,3,31,,,18,,,5,7,35,2,,,5,1,,,,19,140,,,,,2,294,2,29,,,,3,0,,,,2,33,19,,224,38,,13,84,19,149,3,375,5,32,4,,,15,3,0,4,,,,,,6,2,,,1,1,22,,,1,,,,1,,110,2,,,10,1,,0,,1,59,,9,1,,12,,,,5,26,,1,,2,9,21,3,81,19,8,1,99,,,,,24,287,0,,,,,,60,1,,,,26,13,5,,,70,80,3,,,,,,23,31,,59,,35,,1,,4,5,62,,,,1,66,25,191,1,1582,2,,,42,13,,,1,4,3914,2488,3813,2588,1316,205,1899,36,1766,324,1841,93,237,204,0,6605
